Year,Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Match Winner,Total Goals
1998,1998-06-26, 21:00 ,Group G,Stade Felix Bollaert,Lens ,France,Colombia,0,2,England, ,England,2
1998,1998-06-27, 16:30 ,Round of 16,Stade Vï¿½lodrome,Marseilles ,France,Italy,1,0,Norway, ,Italy,1
1998,1998-06-27, 21:00 ,Round of 16,Parc des Princes,Paris ,France,Brazil,4,1,Chile, ,Brazil,5
1998,1998-06-28, 16:30 ,Round of 16,Stade Felix Bollaert,Lens ,France,France,1,0,Paraguay,France win after extra time ,France,1
1998,1998-06-28, 21:00 ,Round of 16,Stade de France,Saint-Denis ,France,Nigeria,1,4,Denmark, ,Denmark,5
1998,1998-06-29, 16:30 ,Round of 16,La Mosson,Montpellier ,France,Germany,2,1,Mexico, ,Germany,3
1998,1998-06-29, 21:00 ,Round of 16,Stade Municipal,Toulouse ,France,Netherlands,2,1,Yugoslavia, ,Netherlands,3
1998,1998-06-30, 16:30 ,Round of 16,Stade du Parc Lescure,Bordeaux ,France,Romania,0,1,Croatia, ,Croatia,1
1998,1998-06-30, 21:00 ,Round of 16,Stade Geoffroy Guichard,Saint-Etienne ,France,Argentina,2,2,England,Argentina win on penalties (4 - 3) ,Argentina,4
1998,1998-07-03, 16:30 ,Quarter-finals,Stade de France,Saint-Denis ,France,Italy,0,0,France,France win on penalties (3 - 4) ,France,0
1998,1998-07-03, 21:00 ,Quarter-finals,La Beaujoire,Nantes ,France,Brazil,3,2,Denmark, ,Brazil,5
1998,1998-07-04, 16:30 ,Quarter-finals,Stade Vï¿½lodrome,Marseilles ,France,Netherlands,2,1,Argentina, ,Netherlands,3
1998,1998-07-04, 21:00 ,Quarter-finals,Stade de Gerland,Lyon ,France,Germany,0,3,Croatia, ,Croatia,3
1998,1998-07-07, 21:00 ,Semi-finals,Stade Vï¿½lodrome,Marseilles ,France,Brazil,1,1,Netherlands,Brazil win on penalties (4 - 2) ,Brazil,2
1998,1998-07-08, 21:00 ,Semi-finals,Stade de France,Saint-Denis ,France,France,2,1,Croatia, ,France,3
1998,1998-07-11, 21:00 ,Match for third place,Parc des Princes,Paris ,France,Netherlands,1,2,Croatia, ,Croatia,3
1998,1998-07-12, 21:00 ,Final,Stade de France,Saint-Denis ,France,Brazil,0,3,France, ,France,3
2002,2002-05-31, 20:30 ,Group A,Seoul World Cup Stadium,Seoul ,Korea/Japan,France,0,1,Senegal, ,Senegal,1
2002,2002-06-01, 18:00 ,Group A,Munsu Football Stadium,Ulsan ,Korea/Japan,Uruguay,1,2,Denmark, ,Denmark,3
2002,2002-06-01, 15:30 ,Group E,Niigata Stadium Big Swan,Niigata ,Korea/Japan,Republic of Ireland,1,1,Cameroon, ,Draw,2
2002,2002-06-01, 20:30 ,Group E,Sapporo Dome,Sapporo ,Korea/Japan,Germany,8,0,Saudi Arabia, ,Germany,8
2002,2002-06-02, 14:30 ,Group F,Kashima Stadium,Ibaraki ,Korea/Japan,Argentina,1,0,Nigeria, ,Argentina,1
2002,2002-06-02, 16:30 ,Group B,Busan Asiad Main Stadium,Busan ,Korea/Japan,Paraguay,2,2,South Africa, ,Draw,4
2002,2002-06-02, 18:30 ,Group F,Saitama Stadium 2002,Saitama ,Korea/Japan,England,1,1,Sweden, ,Draw,2
2002,2002-06-02, 20:30 ,Group B,Gwangju World Cup Stadium,Gwangju ,Korea/Japan,Spain,3,1,Slovenia, ,Spain,4
2002,2002-06-03, 18:00 ,Group C,Munsu Football Stadium,Ulsan ,Korea/Japan,Brazil,2,1,Turkey, ,Brazil,3
2002,2002-06-03, 20:30 ,Group G,Sapporo Dome,Sapporo ,Korea/Japan,Italy,2,0,Ecuador, ,Italy,2
2002,2002-06-03, 15:30 ,Group G,Niigata Stadium Big Swan,Niigata ,Korea/Japan,Croatia,0,1,Mexico, ,Mexico,1
2002,2002-06-04, 15:30 ,Group C,Gwangju World Cup Stadium,Gwangju ,Korea/Japan,China PR,0,2,Costa Rica, ,Costa Rica,2
2002,2002-06-04, 18:00 ,Group H,Saitama Stadium 2002,Saitama ,Korea/Japan,Japan,2,2,Belgium, ,Draw,4
2002,2002-06-04, 20:30 ,Group D,Busan Asiad Main Stadium,Busan ,Korea/Japan,Korea Republic,2,0,Poland, ,Korea Republic,2
2002,2002-06-05, 15:30 ,Group H,Kobe Wing Stadium,Kobe ,Korea/Japan,Russia,2,0,Tunisia, ,Russia,2
2002,2002-06-05, 18:00 ,Group D,Suwon World Cup Stadium,Suwon ,Korea/Japan,USA,3,2,Portugal, ,USA,5
2002,2002-06-05, 20:30 ,Group E,Kashima Stadium,Ibaraki ,Korea/Japan,Germany,1,1,Republic of Ireland, ,Draw,2
2002,2002-06-06, 15:30 ,Group A,Daegu World Cup Stadium,Daegu ,Korea/Japan,Denmark,1,1,Senegal, ,Draw,2
2002,2002-06-06, 18:00 ,Group E,Saitama Stadium 2002,Saitama ,Korea/Japan,Cameroon,1,0,Saudi Arabia, ,Cameroon,1
2002,2002-06-06, 20:30 ,Group A,Busan Asiad Main Stadium,Busan ,Korea/Japan,France,0,0,Uruguay, ,Draw,0
2002,2002-06-07, 15:30 ,Group F,Kobe Wing Stadium,Kobe ,Korea/Japan,Sweden,2,1,Nigeria, ,Sweden,3
2002,2002-06-07, 20:30 ,Group F,Sapporo Dome,Sapporo ,Korea/Japan,Argentina,0,1,England, ,England,1
2002,2002-06-07, 18:00 ,Group B,Jeonju World Cup Stadium,Jeonju ,Korea/Japan,Spain,3,1,Paraguay, ,Spain,4
2002,2002-06-08, 15:30 ,Group B,Daegu World Cup Stadium,Daegu ,Korea/Japan,South Africa,1,0,Slovenia, ,South Africa,1
2002,2002-06-08, 20:30 ,Group C,Jeju World Cup Stadium,Jeju ,Korea/Japan,Brazil,4,0,China PR, ,Brazil,4
2002,2002-06-08, 18:00 ,Group G,Kashima Stadium,Ibaraki ,Korea/Japan,Italy,1,2,Croatia, ,Croatia,3
2002,2002-06-09, 18:00 ,Group C,Incheon Football Stadium,Incheon ,Korea/Japan,Costa Rica,1,1,Turkey, ,Draw,2
2002,2002-06-09, 20:30 ,Group H,International Stadium Yokohama,Yokohama ,Korea/Japan,Japan,1,0,Russia, ,Japan,1
2002,2002-06-09, 15:30 ,Group G,Miyagi Stadium,Rifu ,Korea/Japan,Mexico,2,1,Ecuador, ,Mexico,3
2002,2002-06-10, 15:30 ,Group D,Daegu World Cup Stadium,Daegu ,Korea/Japan,Korea Republic,1,1,USA, ,Draw,2
2002,2002-06-10, 20:30 ,Group D,Jeonju World Cup Stadium,Jeonju ,Korea/Japan,Portugal,4,0,Poland, ,Portugal,4
2002,2002-06-10, 18:00 ,Group H,Oita Stadium Big Eye,Oita ,Korea/Japan,Tunisia,1,1,Belgium, ,Draw,2
2002,2002-06-11, 15:30 ,Group A,Incheon Football Stadium,Incheon ,Korea/Japan,Denmark,2,0,France, ,Denmark,2
2002,2002-06-11, 15:30 ,Group A,Suwon World Cup Stadium,Suwon ,Korea/Japan,Senegal,3,3,Uruguay, ,Draw,6
2002,2002-06-11, 20:30 ,Group E,International Stadium Yokohama,Yokohama ,Korea/Japan,Saudi Arabia,0,3,Republic of Ireland, ,Republic of Ireland,3
2002,2002-06-11, 20:30 ,Group E,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,Cameroon,0,2,Germany, ,Germany,2
2002,2002-06-12, 15:30 ,Group F,Miyagi Stadium,Rifu ,Korea/Japan,Sweden,1,1,Argentina, ,Draw,2
2002,2002-06-12, 15:30 ,Group F,Osaka Nagai Stadium,Osaka ,Korea/Japan,Nigeria,0,0,England, ,Draw,0
2002,2002-06-12, 20:30 ,Group B,Jeju World Cup Stadium,Jeju ,Korea/Japan,Slovenia,1,3,Paraguay, ,Paraguay,4
2002,2002-06-12, 20:30 ,Group B,Daejeon World Cup Stadium,Daejeon ,Korea/Japan,South Africa,2,3,Spain, ,Spain,5
2002,2002-06-13, 15:30 ,Group C,Suwon World Cup Stadium,Suwon ,Korea/Japan,Costa Rica,2,5,Brazil, ,Brazil,7
2002,2002-06-13, 15:30 ,Group C,Seoul World Cup Stadium,Seoul ,Korea/Japan,Turkey,3,0,China PR, ,Turkey,3
2002,2002-06-13, 20:30 ,Group G,International Stadium Yokohama,Yokohama ,Korea/Japan,Ecuador,1,0,Croatia, ,Ecuador,1
2002,2002-06-13, 20:30 ,Group G,Oita Stadium Big Eye,Oita ,Korea/Japan,Mexico,1,1,Italy, ,Draw,2
2002,2002-06-14, 15:30 ,Group H,Osaka Nagai Stadium,Osaka ,Korea/Japan,Tunisia,0,2,Japan, ,Japan,2
2002,2002-06-14, 20:30 ,Group D,Incheon Football Stadium,Incheon ,Korea/Japan,Portugal,0,1,Korea Republic, ,Korea Republic,1
2002,2002-06-14, 20:30 ,Group D,Daejeon World Cup Stadium,Daejeon ,Korea/Japan,Poland,3,1,USA, ,Poland,4
2002,2002-06-14, 15:30 ,Group H,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,Belgium,3,2,Russia, ,Belgium,5
2002,2002-06-15, 20:30 ,Round of 16,Niigata Stadium Big Swan,Niigata ,Korea/Japan,Denmark,0,3,England, ,England,3
2002,2002-06-15, 15:30 ,Round of 16,Jeju World Cup Stadium,Jeju ,Korea/Japan,Germany,1,0,Paraguay, ,Germany,1
2002,2002-06-16, 20:30 ,Round of 16,Suwon World Cup Stadium,Suwon ,Korea/Japan,Spain,1,1,Republic of Ireland,Spain win on penalties (3 - 2) ,Spain,2
2002,2002-06-16, 15:30 ,Round of 16,Oita Stadium Big Eye,Oita ,Korea/Japan,Sweden,1,2,Senegal,Win on Golden Goal ,Senegal,3
2002,2002-06-17, 20:30 ,Round of 16,Kobe Wing Stadium,Kobe ,Korea/Japan,Brazil,2,0,Belgium, ,Brazil,2
2002,2002-06-17, 15:30 ,Round of 16,Jeonju World Cup Stadium,Jeonju ,Korea/Japan,Mexico,0,2,USA, ,USA,2
2002,2002-06-18, 15:30 ,Round of 16,Miyagi Stadium,Rifu ,Korea/Japan,Japan,0,1,Turkey, ,Turkey,1
2002,2002-06-18, 20:30 ,Round of 16,Daejeon World Cup Stadium,Daejeon ,Korea/Japan,Korea Republic,2,1,Italy,Win on Golden Goal ,Korea Republic,3
2002,2002-06-21, 15:30 ,Quarter-finals,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,England,1,2,Brazil, ,Brazil,3
2002,2002-06-21, 20:30 ,Quarter-finals,Munsu Football Stadium,Ulsan ,Korea/Japan,Germany,1,0,USA, ,Germany,1
2002,2002-06-22, 20:30 ,Quarter-finals,Osaka Nagai Stadium,Osaka ,Korea/Japan,Senegal,0,1,Turkey,Win on Golden Goal ,Turkey,1
2002,2002-06-22, 15:30 ,Quarter-finals,Gwangju World Cup Stadium,Gwangju ,Korea/Japan,Spain,0,0,Korea Republic,Korea Republic win on penalties (3 - 5) ,Korea Republic,0
2002,2002-06-25, 20:30 ,Semi-finals,Seoul World Cup Stadium,Seoul ,Korea/Japan,Germany,1,0,Korea Republic, ,Germany,1
2002,2002-06-26, 20:30 ,Semi-finals,Saitama Stadium 2002,Saitama ,Korea/Japan,Brazil,1,0,Turkey, ,Brazil,1
2002,2002-06-29, 20:00 ,Third place,Daegu World Cup Stadium,Daegu ,Korea/Japan,Korea Republic,2,3,Turkey, ,Turkey,5
2002,2002-06-30, 20:00 ,Final,International Stadium Yokohama,Yokohama ,Korea/Japan,Germany,0,2,Brazil, ,Brazil,2
2006,2006-06-09, 18:00 ,Group A,"FIFA World Cup Stadium, Munich",Munich ,Germany,Germany,4,2,Costa Rica, ,Germany,6
2006,2006-06-09, 21:00 ,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,Poland,0,2,Ecuador, ,Ecuador,2
2006,2006-06-10, 15:00 ,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,England,1,0,Paraguay, ,England,1
2006,2006-06-10, 18:00 ,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Trinidad and Tobago,0,0,Sweden, ,Draw,0
2006,2006-06-10, 21:00 ,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg ,Germany,Argentina,2,1,Cï¿½te d'Ivoire, ,Argentina,3
2006,2006-06-11, 15:00 ,Group C,Zentralstadion,Leipzig ,Germany,Serbia and Montenegro,0,1,Netherlands, ,Netherlands,1
2006,2006-06-11, 18:00 ,Group D,Franken-Stadion,Nuremberg ,Germany,Mexico,3,1,Iran, ,Mexico,4
2006,2006-06-11, 21:00 ,Group D,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Angola,0,1,Portugal, ,Portugal,1
2006,2006-06-12, 15:00 ,Group F,Fritz-Walter-Stadion,Kaiserslautern ,Germany,Australia,3,1,Japan, ,Australia,4
2006,2006-06-12, 18:00 ,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,USA,0,3,Czech Republic, ,Czech Republic,3
2006,2006-06-12, 21:00 ,Group E,"FIFA World Cup Stadium, Hanover",Hanover ,Germany,Italy,2,0,Ghana, ,Italy,2
2006,2006-06-13, 15:00 ,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,Korea Republic,2,1,Togo, ,Korea Republic,3
2006,2006-06-13, 18:00 ,Group G,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,France,0,0,Switzerland, ,Draw,0
2006,2006-06-13, 21:00 ,Group F,Olympiastadion,Berlin ,Germany,Brazil,1,0,Croatia, ,Brazil,1
2006,2006-06-14, 15:00 ,Group H,Zentralstadion,Leipzig ,Germany,Spain,4,0,Ukraine, ,Spain,4
2006,2006-06-14, 18:00 ,Group H,"FIFA World Cup Stadium, Munich",Munich ,Germany,Tunisia,2,2,Saudi Arabia, ,Draw,4
2006,2006-06-14, 21:00 ,Group A,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Germany,1,0,Poland, ,Germany,1
2006,2006-06-15, 15:00 ,Group A,"FIFA World Cup Stadium, Hamburg",Hamburg ,Germany,Ecuador,3,0,Costa Rica, ,Ecuador,3
2006,2006-06-15, 18:00 ,Group B,Franken-Stadion,Nuremberg ,Germany,England,2,0,Trinidad and Tobago, ,England,2
2006,2006-06-15, 21:00 ,Group B,Olympiastadion,Berlin ,Germany,Sweden,1,0,Paraguay, ,Sweden,1
2006,2006-06-16, 15:00 ,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,Argentina,6,0,Serbia and Montenegro, ,Argentina,6
2006,2006-06-16, 18:00 ,Group C,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,Netherlands,2,1,Cï¿½te d'Ivoire, ,Netherlands,3
2006,2006-06-16, 21:00 ,Group D,"FIFA World Cup Stadium, Hanover",Hanover ,Germany,Mexico,0,0,Angola, ,Draw,0
2006,2006-06-17, 15:00 ,Group D,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,Portugal,2,0,IR Iran, ,Portugal,2
2006,2006-06-17, 18:00 ,Group E,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Czech Republic,0,2,Ghana, ,Ghana,2
2006,2006-06-17, 21:00 ,Group E,Fritz-Walter-Stadion,Kaiserslautern ,Germany,Italy,1,1,USA, ,Draw,2
2006,2006-06-18, 15:00 ,Group F,Franken-Stadion,Nuremberg ,Germany,Japan,0,0,Croatia, ,Draw,0
2006,2006-06-18, 18:00 ,Group F,"FIFA World Cup Stadium, Munich",Munich ,Germany,Brazil,2,0,Australia, ,Brazil,2
2006,2006-06-18, 21:00 ,Group G,Zentralstadion,Leipzig ,Germany,France,1,1,Korea Republic, ,Draw,2
2006,2006-06-19, 15:00 ,Group G,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Togo,0,2,Switzerland, ,Switzerland,2
2006,2006-06-19, 18:00 ,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg ,Germany,Saudi Arabia,0,4,Ukraine, ,Ukraine,4
2006,2006-06-19, 21:00 ,Group H,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,Spain,3,1,Tunisia, ,Spain,4
2006,2006-06-20, 16:00 ,Group A,Olympiastadion,Berlin ,Germany,Ecuador,0,3,Germany, ,Germany,3
2006,2006-06-20, 16:00 ,Group A,"FIFA World Cup Stadium, Hanover",Hanover ,Germany,Costa Rica,1,2,Poland, ,Poland,3
2006,2006-06-20, 21:00 ,Group B,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Sweden,2,2,England, ,Draw,4
2006,2006-06-20, 21:00 ,Group B,Fritz-Walter-Stadion,Kaiserslautern ,Germany,Paraguay,2,0,Trinidad and Tobago, ,Paraguay,2
2006,2006-06-21, 16:00 ,Group D,Zentralstadion,Leipzig ,Germany,Iran,1,1,Angola, ,Draw,2
2006,2006-06-21, 16:00 ,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,Portugal,2,1,Mexico, ,Portugal,3
2006,2006-06-21, 21:00 ,Group C,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,Netherlands,0,0,Argentina, ,Draw,0
2006,2006-06-21, 21:00 ,Group C,"FIFA World Cup Stadium, Munich",Munich ,Germany,Cï¿½te d'Ivoire,3,2,Serbia and Montenegro, ,Cï¿½te d'Ivoire,5
2006,2006-06-22, 16:00 ,Group E,"FIFA World Cup Stadium, Hamburg",Hamburg ,Germany,Czech Republic,0,2,Italy, ,Italy,2
2006,2006-06-22, 16:00 ,Group E,Franken-Stadion,Nuremberg ,Germany,Ghana,2,1,USA, ,Ghana,3
2006,2006-06-22, 21:00 ,Group F,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Japan,1,4,Brazil, ,Brazil,5
2006,2006-06-22, 21:00 ,Group F,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,Croatia,2,2,Australia, ,Draw,4
2006,2006-06-23, 16:00 ,Group H,Olympiastadion,Berlin ,Germany,Ukraine,1,0,Tunisia, ,Ukraine,1
2006,2006-06-23, 16:00 ,Group H,Fritz-Walter-Stadion,Kaiserslautern ,Germany,Saudi Arabia,0,1,Spain, ,Spain,1
2006,2006-06-23, 21:00 ,Group G,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Togo,0,2,France, ,France,2
2006,2006-06-23, 21:00 ,Group G,"FIFA World Cup Stadium, Hanover",Hanover ,Germany,Switzerland,2,0,Korea Republic, ,Switzerland,2
2006,2006-06-24, 17:00 ,Round of 16,"FIFA World Cup Stadium, Munich",Munich ,Germany,Germany,2,0,Sweden, ,Germany,2
2006,2006-06-24, 21:00 ,Round of 16,Zentralstadion,Leipzig ,Germany,Argentina,2,1,Mexico,Argentina win after extra time ,Argentina,3
2006,2006-06-25, 17:00 ,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,England,1,0,Ecuador, ,England,1
2006,2006-06-25, 21:00 ,Round of 16,Franken-Stadion,Nuremberg ,Germany,Portugal,1,0,Netherlands, ,Portugal,1
2006,2006-06-26, 17:00 ,Round of 16,Fritz-Walter-Stadion,Kaiserslautern ,Germany,Italy,1,0,Australia, ,Italy,1
2006,2006-06-26, 21:00 ,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3) ,Ukraine,0
2006,2006-06-27, 17:00 ,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Brazil,3,0,Ghana, ,Brazil,3
2006,2006-06-27, 21:00 ,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover ,Germany,Spain,1,3,France, ,France,4
2006,2006-06-30, 17:00 ,Quarter-finals,Olympiastadion,Berlin ,Germany,Germany,1,1,Argentina,Germany win on penalties (4 - 2) ,Germany,2
2006,2006-06-30, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg ,Germany,Italy,3,0,Ukraine, ,Italy,3
2006,2006-07-01, 17:00 ,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,England,0,0,Portugal,Portugal win on penalties (1 - 3) ,Portugal,0
2006,2006-07-01, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,Brazil,0,1,France, ,France,1
2006,2006-07-04, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Germany,0,2,Italy,Italy win after extra time ,Italy,2
2006,2006-07-05, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Munich",Munich ,Germany,Portugal,0,1,France, ,France,1
2006,2006-07-08, 21:00 ,Third place,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,Germany,3,1,Portugal, ,Germany,4
2006,2006-07-09, 20:00 ,Final,Olympiastadion,Berlin ,Germany,Italy,1,1,France,Italy win on penalties (5 - 3) ,Italy,2
2010,2010-06-11, 16:00 ,Group A,Soccer City Stadium,Johannesburg ,South Africa,South Africa,1,1,Mexico, ,Draw,2
2010,2010-06-11, 20:30 ,Group A,Cape Town Stadium,Cape Town ,South Africa,Uruguay,0,0,France, ,Draw,0
2010,2010-06-12, 13:30 ,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,South Africa,Korea Republic,2,0,Greece, ,Korea Republic,2
2010,2010-06-12, 16:00 ,Group B,Ellis Park Stadium,Johannesburg ,South Africa,Argentina,1,0,Nigeria, ,Argentina,1
2010,2010-06-12, 20:30 ,Group C,Royal Bafokeng Sports Palace,Phokeng ,South Africa,England,1,1,USA, ,Draw,2
2010,2010-06-13, 13:30 ,Group C,Peter Mokaba Stadium,Polokwane ,South Africa,Algeria,0,1,Slovenia, ,Slovenia,1
2010,2010-06-13, 16:00 ,Group D,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Serbia,0,1,Ghana, ,Ghana,1
2010,2010-06-13, 20:30 ,Group D,Durban Stadium,Durban ,South Africa,Germany,4,0,Australia, ,Germany,4
2010,2010-06-14, 13:30 ,Group E,Soccer City Stadium,Johannesburg ,South Africa,Netherlands,2,0,Denmark, ,Netherlands,2
2010,2010-06-14, 16:00 ,Group E,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Japan,1,0,Cameroon, ,Japan,1
2010,2010-06-14, 20:30 ,Group F,Cape Town Stadium,Cape Town ,South Africa,Italy,1,1,Paraguay, ,Draw,2
2010,2010-06-15, 13:30 ,Group F,Royal Bafokeng Sports Palace,Phokeng ,South Africa,New Zealand,1,1,Slovakia, ,Draw,2
2010,2010-06-15, 16:00 ,Group G,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,South Africa,Cï¿½te d'Ivoire,0,0,Portugal, ,Draw,0
2010,2010-06-15, 20:30 ,Group G,Ellis Park Stadium,Johannesburg ,South Africa,Brazil,2,1,Korea DPR, ,Brazil,3
2010,2010-06-16, 13:30 ,Group H,Mbombela Stadium,Nelspruit ,South Africa,Honduras,0,1,Chile, ,Chile,1
2010,2010-06-16, 16:00 ,Group H,Durban Stadium,Durban ,South Africa,Spain,0,1,Switzerland, ,Switzerland,1
2010,2010-06-16, 20:30 ,Group A,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,South Africa,0,3,Uruguay, ,Uruguay,3
2010,2010-06-17, 13:30 ,Group B,Soccer City Stadium,Johannesburg ,South Africa,Argentina,4,1,Korea Republic, ,Argentina,5
2010,2010-06-17, 16:00 ,Group B,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Greece,2,1,Nigeria, ,Greece,3
2010,2010-06-17, 20:30 ,Group A,Peter Mokaba Stadium,Polokwane ,South Africa,France,0,2,Mexico, ,Mexico,2
2010,2010-06-18, 13:30 ,Group D,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,South Africa,Germany,0,1,Serbia, ,Serbia,1
2010,2010-06-18, 16:00 ,Group C,Ellis Park Stadium,Johannesburg ,South Africa,Slovenia,2,2,USA, ,Draw,4
2010,2010-06-18, 20:30 ,Group C,Cape Town Stadium,Cape Town ,South Africa,England,0,0,Algeria, ,Draw,0
2010,2010-06-19, 13:30 ,Group E,Durban Stadium,Durban ,South Africa,Netherlands,1,0,Japan, ,Netherlands,1
2010,2010-06-19, 16:00 ,Group D,Royal Bafokeng Sports Palace,Phokeng ,South Africa,Ghana,1,1,Australia, ,Draw,2
2010,2010-06-19, 20:30 ,Group E,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Cameroon,1,2,Denmark, ,Denmark,3
2010,2010-06-20, 13:30 ,Group F,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Slovakia,0,2,Paraguay, ,Paraguay,2
2010,2010-06-20, 16:00 ,Group F,Mbombela Stadium,Nelspruit ,South Africa,Italy,1,1,New Zealand, ,Draw,2
2010,2010-06-20, 20:30 ,Group G,Soccer City Stadium,Johannesburg ,South Africa,Brazil,3,1,Cï¿½te d'Ivoire, ,Brazil,4
2010,2010-06-21, 13:30 ,Group G,Cape Town Stadium,Cape Town ,South Africa,Portugal,7,0,Korea DPR, ,Portugal,7
2010,2010-06-21, 16:00 ,Group H,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,South Africa,Chile,1,0,Switzerland, ,Chile,1
2010,2010-06-21, 20:30 ,Group H,Ellis Park Stadium,Johannesburg ,South Africa,Spain,2,0,Honduras, ,Spain,2
2010,2010-06-22, 16:00 ,Group A,Royal Bafokeng Sports Palace,Phokeng ,South Africa,Mexico,0,1,Uruguay, ,Uruguay,1
2010,2010-06-22, 16:00 ,Group A,Free State Stadium,Mangaung/Bloemfontein ,South Africa,France,1,2,South Africa, ,South Africa,3
2010,2010-06-22, 20:30 ,Group B,Durban Stadium,Durban ,South Africa,Nigeria,2,2,Korea Republic, ,Draw,4
2010,2010-06-22, 20:30 ,Group B,Peter Mokaba Stadium,Polokwane ,South Africa,Greece,0,2,Argentina, ,Argentina,2
2010,2010-06-23, 16:00 ,Group C,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,South Africa,Slovenia,0,1,England, ,England,1
2010,2010-06-23, 16:00 ,Group C,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,USA,1,0,Algeria, ,USA,1
2010,2010-06-23, 20:30 ,Group D,Soccer City Stadium,Johannesburg ,South Africa,Ghana,0,1,Germany, ,Germany,1
2010,2010-06-23, 20:30 ,Group D,Mbombela Stadium,Nelspruit ,South Africa,Australia,2,1,Serbia, ,Australia,3
2010,2010-06-24, 16:00 ,Group F,Ellis Park Stadium,Johannesburg ,South Africa,Slovakia,3,2,Italy, ,Slovakia,5
2010,2010-06-24, 16:00 ,Group F,Peter Mokaba Stadium,Polokwane ,South Africa,Paraguay,0,0,New Zealand, ,Draw,0
2010,2010-06-24, 20:30 ,Group E,Royal Bafokeng Sports Palace,Phokeng ,South Africa,Denmark,1,3,Japan, ,Japan,4
2010,2010-06-24, 20:30 ,Group E,Cape Town Stadium,Cape Town ,South Africa,Cameroon,1,2,Netherlands, ,Netherlands,3
2010,2010-06-25, 16:00 ,Group G,Durban Stadium,Durban ,South Africa,Portugal,0,0,Brazil, ,Draw,0
2010,2010-06-25, 16:00 ,Group G,Mbombela Stadium,Nelspruit ,South Africa,Korea DPR,0,3,Cï¿½te d'Ivoire, ,Cï¿½te d'Ivoire,3
2010,2010-06-25, 20:30 ,Group H,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Chile,1,2,Spain, ,Spain,3
2010,2010-06-25, 20:30 ,Group H,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Switzerland,0,0,Honduras, ,Draw,0
